postcode,solar_ref_id,cluster,ref_lat,ref_long,distance_km,station_size
200,AUS_SOLAR_REF_032,32,-35.275863,149.113796,0.6021213902392605,60
800,AUS_SOLAR_REF_364,364,-12.428017,130.873315,5.303184717939236,40
801,AUS_SOLAR_REF_364,364,-12.428017,130.873315,5.303184717939236,40
803,AUS_SOLAR_REF_364,364,-12.428017,130.873315,14.15768296311941,40
804,AUS_SOLAR_REF_364,364,-12.428017,130.873315,0.0,40
810,AUS_SOLAR_REF_364,364,-12.428017,130.873315,4.368151113756873,40
811,AUS_SOLAR_REF_364,364,-12.428017,130.873315,5.1891566285717365,40
812,AUS_SOLAR_REF_364,364,-12.428017,130.873315,4.503633846724884,40
813,AUS_SOLAR_REF_364,364,-12.428017,130.873315,5.404270953923862,40
814,AUS_SOLAR_REF_364,364,-12.428017,130.873315,5.1891566285717365,40
815,AUS_SOLAR_REF_364,364,-12.428017,130.873315,6.258441758041159,40
820,AUS_SOLAR_REF_364,364,-12.428017,130.873315,0.0,40
821,AUS_SOLAR_REF_345,345,-13.643283,136.947051,0.0,4
822,AUS_SOLAR_REF_007,7,-11.75841975,130.6254299,0.0,1
828,AUS_SOLAR_REF_364,364,-12.428017,130.873315,6.536732471626166,40
829,AUS_SOLAR_REF_364,364,-12.428017,130.873315,10.143645752893477,40
830,AUS_SOLAR_REF_364,364,-12.428017,130.873315,12.42472589125578,40
831,AUS_SOLAR_REF_364,364,-12.428017,130.873315,12.42472589125578,40
832,AUS_SOLAR_REF_364,364,-12.428017,130.873315,12.517873907196838,40
834,AUS_SOLAR_REF_364,364,-12.428017,130.873315,21.25774158683273,40
835,AUS_SOLAR_REF_364,364,-12.428017,130.873315,15.823715977032164,40
836,AUS_SOLAR_REF_115,115,-12.71878122,131.0067348,19.997570170713992,8
837,AUS_SOLAR_REF_115,115,-12.71878122,131.0067348,1.905356534979182,8
838,AUS_SOLAR_REF_115,115,-12.71878122,131.0067348,0.0,8
839,AUS_SOLAR_REF_364,364,-12.428017,130.873315,21.1524504381253,40
840,AUS_SOLAR_REF_364,364,-12.428017,130.873315,54.96935946291869,40
841,AUS_SOLAR_REF_115,115,-12.71878122,131.0067348,11.877148114337215,8
845,AUS_SOLAR_REF_115,115,-12.71878122,131.0067348,36.39431435574186,8
846,AUS_SOLAR_REF_115,115,-12.71878122,131.0067348,55.43122915089351,8
847,AUS_SOLAR_REF_151,151,-14.195911,132.365352,70.31255653767556,10
850,AUS_SOLAR_REF_151,151,-14.195911,132.365352,0.0,10
851,AUS_SOLAR_REF_226,226,-16.503809,136.424191,112.12710604841983,4
852,AUS_SOLAR_REF_004,4,0.0,0.0,0.0,5
853,AUS_SOLAR_REF_151,151,-14.195911,132.365352,37.241092168069,10
854,AUS_SOLAR_REF_226,226,-16.503809,136.424191,0.0,4
860,AUS_SOLAR_REF_071,71,-18.251528,134.463153,157.57741208432398,6
861,AUS_SOLAR_REF_071,71,-18.251528,134.463153,0.0,6
862,AUS_SOLAR_REF_071,71,-18.251528,134.463153,0.0,6
870,AUS_SOLAR_REF_065,65,-23.71393895,133.8740968,0.0,17
871,AUS_SOLAR_REF_012,12,-21.949513,131.298809,0.0,2
872,AUS_SOLAR_REF_036,36,-26.9661,133.308,0.0,7
873,AUS_SOLAR_REF_065,65,-23.71393895,133.8740968,4.841952773057492,17
874,AUS_SOLAR_REF_065,65,-23.71393895,133.8740968,4.37731199433152,17
875,AUS_SOLAR_REF_065,65,-23.71393895,133.8740968,4.293340939251581,17
880,AUS_SOLAR_REF_077,77,-12.21424182,136.7083085,0.0,5
881,AUS_SOLAR_REF_077,77,-12.21424182,136.7083085,61.740935928818224,5
885,AUS_SOLAR_REF_345,345,-13.643283,136.947051,62.86664375412336,4
886,AUS_SOLAR_REF_151,151,-14.195911,132.365352,120.21174029211748,10
906,AUS_SOLAR_REF_345,345,-13.643283,136.947051,0.0,4
907,AUS_SOLAR_REF_345,345,-13.643283,136.947051,0.0,4
909,AUS_SOLAR_REF_364,364,-12.428017,130.873315,6.258441758041159,40
1001,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1002,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1003,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1004,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1005,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1006,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1007,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1008,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1009,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1010,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1020,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1021,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1022,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1023,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1025,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1026,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1027,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1028,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1029,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1030,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1031,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1032,AUS_SOLAR_REF_389,389,-33.783751,150.900547,13.737134210548064,88
1033,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1034,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1035,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1036,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1037,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1038,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1039,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1040,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1041,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1042,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1043,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1044,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1045,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1046,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
1100,AUS_SOLAR_REF_051,51,-33.812636,151.214797,6.233110178335396,300
