solar_ref_id,lat,long,state,postcode
AUS_SOLAR_REF_000,-27.832196,114.852437,WA,6535
AUS_SOLAR_REF_001,-32.239696,151.685456,NSW,2420
AUS_SOLAR_REF_002,-36.515303,144.28053,VIC,3570
AUS_SOLAR_REF_003,-20.79424,144.218437,QLD,4821
AUS_SOLAR_REF_004,0.0,0.0,NT,852
AUS_SOLAR_REF_005,-27.089517,152.321536,QLD,4313
AUS_SOLAR_REF_006,-35.147923,138.552209,SA,5163
AUS_SOLAR_REF_007,-11.75841975,130.6254299,NT,822
AUS_SOLAR_REF_008,-42.304288,146.958381,TAS,7030
AUS_SOLAR_REF_009,-31.526755,118.167797,WA,6414
AUS_SOLAR_REF_010,-26.32008739,138.9717811,SA,5733
AUS_SOLAR_REF_011,-36.09357335,147.0344634,NSW,3691
AUS_SOLAR_REF_012,-21.949513,131.298809,NT,871
AUS_SOLAR_REF_013,-17.786658,146.021722,QLD,4855
AUS_SOLAR_REF_014,-33.233929,149.116263,NSW,2800
AUS_SOLAR_REF_015,-22.141251,117.057776,WA,6751
AUS_SOLAR_REF_016,-23.279639,150.885772,QLD,4702
AUS_SOLAR_REF_017,-32.12303469,115.8928346,WA,6164
AUS_SOLAR_REF_018,-30.39010496,138.5050129,SA,5731
AUS_SOLAR_REF_019,-9.584901,143.769211,QLD,4875
AUS_SOLAR_REF_020,-38.301794,142.457611,VIC,3275
AUS_SOLAR_REF_021,-34.437229,150.818904,NSW,2525
AUS_SOLAR_REF_022,-26.73282,148.690231,QLD,4455
AUS_SOLAR_REF_023,-38.460127,145.995174,VIC,3953
AUS_SOLAR_REF_024,-20.808597,149.271699,QLD,4741
AUS_SOLAR_REF_025,-30.40364,122.683881,WA,6431
AUS_SOLAR_REF_026,-29.320772,153.271074,NSW,2460
AUS_SOLAR_REF_027,-32.69008918,137.7541107,SA,5700
AUS_SOLAR_REF_028,-18.45128815,137.6072968,NT,862
AUS_SOLAR_REF_029,-34.438738,115.860627,WA,6260
AUS_SOLAR_REF_030,-37.743361,144.796693,VIC,3021
